Gemeinde,Kanton,Bezirk,Anhänger_Anderer,Anhänger_Benzin,Anhänger_Benzin-elektrisch: Normal-Hybrid,Anhänger_Benzin-elektrisch: Plug-in-Hybrid,Anhänger_Diesel,Anhänger_Diesel-elektrisch: Normal-Hybrid,Anhänger_Diesel-elektrisch: Plug-in-Hybrid,Anhänger_Elektrisch,Anhänger_Gas (mono- und bivalent),Anhänger_Ohne Motor,Anhänger_Wasserstoff,Industriefahrzeuge_Anderer,Industriefahrzeuge_Benzin,Industriefahrzeuge_Benzin-elektrisch: Normal-Hybrid,Industriefahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Diesel,Industriefahrzeuge_Diesel-elektrisch: Normal-Hybrid,Industriefahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Elektrisch,Industriefahrzeuge_Gas (mono- und bivalent),Industriefahrzeuge_Ohne Motor,Industriefahrzeuge_Wasserstoff,Landwirtschaftsfahrzeuge_Anderer,Landwirtschaftsfahrzeuge_Benzin,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Diesel,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Elektrisch,Landwirtschaftsfahrzeuge_Gas (mono- und bivalent),Landwirtschaftsfahrzeuge_Ohne Motor,Landwirtschaftsfahrzeuge_Wasserstoff,Motorräder_Anderer,Motorräder_Benzin,Motorräder_Benzin-elektrisch: Normal-Hybrid,Motorräder_Benzin-elektrisch: Plug-in-Hybrid,Motorräder_Diesel,Motorräder_Diesel-elektrisch: Normal-Hybrid,Motorräder_Diesel-elektrisch: Plug-in-Hybrid,Motorräder_Elektrisch,Motorräder_Gas (mono- und bivalent),Motorräder_Ohne Motor,Motorräder_Wasserstoff,Personentransportfahrzeuge_Anderer,Personentransportfahrzeuge_Benzin,Personentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Diesel,Personentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Elektrisch,Personentransportfahrzeuge_Gas (mono- und bivalent),Personentransportfahrzeuge_Ohne Motor,Personentransportfahrzeuge_Wasserstoff,Personenwagen_Anderer,Personenwagen_Benzin,Personenwagen_Benzin-elektrisch: Normal-Hybrid,Personenwagen_Benzin-elektrisch: Plug-in-Hybrid,Personenwagen_Diesel,Personenwagen_Diesel-elektrisch: Normal-Hybrid,Personenwagen_Diesel-elektrisch: Plug-in-Hybrid,Personenwagen_Elektrisch,Personenwagen_Gas (mono- und bivalent),Personenwagen_Ohne Motor,Personenwagen_Wasserstoff,Sachentransportfahrzeuge_Anderer,Sachentransportfahrzeuge_Benzin,Sachentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Diesel,Sachentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Elektrisch,Sachentransportfahrzeuge_Gas (mono- und bivalent),Sachentransportfahrzeuge_Ohne Motor,Sachentransportfahrzeuge_Wasserstoff
Bedretto,Ticino,Distretto di Leventina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04716981132075472,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0
Bodio,Ticino,Distretto di Leventina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010330578512396695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030991735537190084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0010330578512396695,0.0,0.010330578512396695,0.002066115702479339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030991735537190084,0.0,0.0,0.0,0.0,0.0,0.0
Dalpe,Ticino,Distretto di Leventina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011695906432748537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023391812865497075,0.0,0.0,0.011695906432748537,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faido,Ticino,Distretto di Leventina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020768431983385254,0.0,0.0,0.0,0.0,0.0,0.0006922810661128419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006922810661128419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024229837313949464,0.0,0.0,0.0,0.0,0.0,0.00034614053305642093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034614053305642093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028383523710626513,0.0020768431983385254,0.00034614053305642093,0.014191761855313257,0.0,0.0,0.0006922810661128419,0.0,0.0,0.0,0.0,0.00034614053305642093,0.0,0.0,0.003461405330564209,0.0,0.0,0.0,0.0,0.0,0.0
Giornico,Ticino,Distretto di Leventina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012004801920768306,0.0,0.0,0.0012004801920768306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024009603841536613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.003601440576230492,0.0,0.006002400960384154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024009603841536613,0.0,0.0,0.0,0.0,0.0,0.0
Personico,Ticino,Distretto di Leventina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015105740181268883,0.0,0.0,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006042296072507553,0.0,0.0,0.0,0.0,0.0,0.0
Pollegio,Ticino,Distretto di Leventina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025031289111389237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050062578222778474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025031289111389237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03254067584480601,0.0025031289111389237,0.0,0.011264080100125156,0.0,0.0,0.0012515644555694619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025031289111389237,0.0,0.0,0.0,0.0,0.0,0.0
Prato (Leventina),Ticino,Distretto di Leventina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034229828850855744,0.0024449877750611247,0.0,0.014669926650366748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0
Quinto,Ticino,Distretto di Leventina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008823529411764706,0.0,0.0,0.0,0.0,0.0,0.000980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.000980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025490196078431372,0.00392156862745098,0.0,0.03823529411764706,0.0,0.0,0.000980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0
Ascona,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005457522284882663,0.0,0.0,0.0,0.0,0.0,0.00018191740949608878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008186283427323995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036383481899217757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03638348189921776,0.003820265599417864,0.00018191740949608878,0.007640531198835728,0.0005457522284882663,0.0,0.0018191740949608877,0.0,0.0,0.0,0.0,0.003820265599417864,0.0,0.0,0.0027287611424413314,0.0,0.0,0.0,0.0,0.0,0.0
Brione sopra Minusio,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.004166666666666667,0.0020833333333333333,0.00625,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0
Brissago,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005899705014749262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00471976401179941,0.0,0.0,0.0,0.0,0.0,0.0005899705014749262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02536873156342183,0.0017699115044247787,0.0,0.010029498525073746,0.0,0.0,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0005899705014749262,0.0,0.0,0.004129793510324484,0.0,0.0,0.0,0.0,0.0,0.0
Bachenbï¿½lach,Zï¿½rich,Bezirk Bï¿½lach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.00023923444976076556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023923444976076556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023923444976076556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029186602870813396,0.0023923444976076554,0.0016746411483253589,0.013636363636363636,0.0011961722488038277,0.0,0.0023923444976076554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005023923444976076,0.0,0.0,0.0,0.0,0.0,0.0
Gordola,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006429489927132448,0.0,0.0,0.0,0.0,0.0,0.0002143163309044149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005357908272610373,0.0,0.0,0.0,0.0,0.0,0.0002143163309044149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004286326618088298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041577368195456495,0.004500642948992713,0.0010715816545220746,0.01393056150878697,0.0006429489927132448,0.0,0.0017145306472353193,0.0,0.0,0.0,0.0,0.0012858979854264896,0.0,0.0,0.0038576939562794685,0.0,0.0,0.0,0.0,0.0,0.0
Lavertezzo,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06916666666666667,0.004166666666666667,0.0008333333333333334,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0
Locarno,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006338742393509128,0.0,0.0,6.338742393509128e-05,0.0,0.0,0.00019016227180527383,0.0,0.0,6.338742393509128e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.338742393509128e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00595841784989858,0.0,0.0,0.0,0.0,0.0,0.0002535496957403651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044371196754563894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022565922920892496,0.0019016227180527383,0.00019016227180527383,0.006592292089249493,0.00044371196754563894,0.0,0.0006338742393509128,0.0,0.0,0.0,0.0,0.000697261663286004,0.0,0.0,0.0033595334685598377,0.0,0.0,0.0,0.0,0.0,0.0
Losone,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044809559372666166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014936519790888724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014936519790888724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008961911874533234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002987303958177745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031964152352501864,0.002987303958177745,0.000597460791635549,0.010903659447348767,0.0010455563853622107,0.0,0.0008961911874533233,0.0,0.0,0.0,0.0,0.0010455563853622107,0.0,0.0,0.0022404779686333084,0.0,0.0,0.0,0.0,0.0,0.0
Mergoscia,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009569377990430622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009569377990430622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004784688995215311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004784688995215311,0.0,0.0,0.009569377990430622,0.0,0.0,0.004784688995215311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004784688995215311,0.0,0.0,0.0,0.0,0.0,0.0
Minusio,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006867188572998214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001373437714599643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007553907430298036,0.0,0.0,0.0,0.0,0.0,0.0001373437714599643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002746875429199286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02911687954951243,0.002334844114819393,0.0006867188572998214,0.008240626287597858,0.0001373437714599643,0.0,0.0016481252575195715,0.0,0.0,0.0,0.0,0.0005493750858398572,0.0,0.0,0.0012360939431396785,0.0,0.0,0.0,0.0,0.0,0.0
Muralto,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007476635514018691,0.0,0.0,0.0,0.0,0.0,0.0007476635514018691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003738317757009346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007476635514018691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025794392523364486,0.0011214953271028037,0.0,0.00485981308411215,0.0007476635514018691,0.0,0.001869158878504673,0.00037383177570093456,0.0,0.0,0.0,0.00037383177570093456,0.0,0.0,0.00037383177570093456,0.0,0.0,0.0,0.0,0.0,0.0
Orselina,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012552301255230125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001394700139470014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023709902370990237,0.0,0.001394700139470014,0.00697350069735007,0.0,0.0,0.002789400278940028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002789400278940028,0.0,0.0,0.0,0.0,0.0,0.0
Ronco sopra Ascona,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034904013961605585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017452006980802793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05235602094240838,0.0034904013961605585,0.0,0.0017452006980802793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017452006980802793,0.0,0.0,0.008726003490401396,0.0,0.0,0.0,0.0,0.0,0.0
Tenero-Contra,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001861619609059882,0.0,0.0,0.0,0.0,0.0,0.0006205398696866273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031026993484331366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00589512876202296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031026993484331366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025752404591995036,0.003102699348433137,0.00031026993484331366,0.008687558175612783,0.00031026993484331366,0.0,0.000930809804529941,0.00031026993484331366,0.0,0.0,0.0,0.0015513496742165685,0.0,0.0,0.000930809804529941,0.0,0.0,0.0,0.0,0.0,0.0
Onsernone,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045385779122541605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012102874432677761,0.0015128593040847202,0.0,0.0030257186081694403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030257186081694403,0.0,0.0,0.0,0.0,0.0,0.0
Cugnasco-Gerra,Ticino,Distretto di Locarno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010783608914450035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006829618979151689,0.0,0.0,0.0,0.0,0.0,0.0003594536304816679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010783608914450035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039539899352983465,0.0014378145219266715,0.0,0.013659237958303379,0.0007189072609633358,0.0,0.0010783608914450035,0.0,0.0,0.0,0.0,0.0003594536304816679,0.0,0.0,0.002156721782890007,0.0,0.0,0.0003594536304816679,0.0,0.0,0.0
Agno,Ticino,Distretto di Lugano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009084714967067908,0.0,0.0,0.0,0.0,0.0,0.0006813536225300931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002271178741766977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008630479218714513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002271178741766977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297524415171474,0.0029525323642970703,0.0009084714967067908,0.013627072450601862,0.0002271178741766977,0.0,0.0004542357483533954,0.0002271178741766977,0.0,0.0,0.0,0.0011355893708834886,0.0,0.0,0.0029525323642970703,0.0,0.0,0.0,0.0,0.0,0.0
Aranno,Ticino,Distretto di Lugano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007978723404255319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,0.005319148936170213,0.0,0.015957446808510637,0.0026595744680851063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arogno,Ticino,Distretto di Lugano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010080645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006048387096774193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023185483870967742,0.0020161290322580645,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0
Astano,Ticino,Distretto di Lugano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016722408026755852,0.0,0.0,0.013377926421404682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0
Bedano,Ticino,Distretto di Lugano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001941747572815534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008414239482200648,0.0,0.0,0.0,0.0,0.0,0.0006472491909385113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006472491909385113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038187702265372166,0.0012944983818770227,0.0012944983818770227,0.008414239482200648,0.0012944983818770227,0.0,0.0012944983818770227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009061488673139158,0.0,0.0,0.0006472491909385113,0.0,0.0,0.0
Bedigliora,Ticino,Distretto di Lugano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032733224222585926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014729950900163666,0.0,0.0,0.01309328968903437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016366612111292963,0.0,0.0,0.0,0.0,0.0,0.0
