"Abstimmungs_Datum","Nr_Politische_Ebene","Name_Politische_Ebene","Abstimmungs_Text","Nr_Resultat_Gebiet","Name_Resultat_Gebiet","Nr_Wahlkreis_StZH","Name_Wahlkreis_StZH","Stimmberechtigt","Ja","Nein","Stimmbeteiligung (%)","Ja (%)","Nein (%)","StaendeJa","StaendeNein"
"2024-03-03",3,"Stadt Zürich","A. Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",5,"Kreis 6",19466.0,6338,5783,64.6,52.3,47.7,"",""
"2024-03-03",3,"Stadt Zürich","A. Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",4,"Kreis 4+5",24617.0,6469,6280,54.2,50.7,49.3,"",""
"2024-03-03",3,"Stadt Zürich","A. Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",3,"Kreis 3",27556.0,7635,6823,54.7,52.8,47.2,"",""
"2024-03-03",2,"Kanton Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale ",3,"Stadt Zürich",9,"Kreis 11",37170.0,4981,11139,47.7,30.9,69.1,"",""
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",2,"Kanton Zürich","","",933174.0,324234,201198,57.6,61.7,38.3,"",""
"2024-03-03",2,"Kanton Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale ",3,"Stadt Zürich",7,"Kreis 9",31637.0,4275,10062,50.6,29.8,70.2,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich",3,"Kreis 3",27556.0,3900,11908,58.1,24.7,75.3,"",""
"2024-03-03",2,"Kanton Zürich","Änderung der Kantonsverfassung, Voraussetzungen für die Wahl an die obersten kantonalen Gerichte",3,"Stadt Zürich",5,"Kreis 6",19466.0,10792,770,63.7,93.3,6.7,"",""
"2024-03-03",2,"Kanton Zürich","Änderung der Kantonsverfassung, Voraussetzungen für die Wahl an die obersten kantonalen Gerichte",3,"Stadt Zürich",4,"Kreis 4+5",24617.0,11360,846,53.4,93.1,6.9,"",""
"2024-03-03",2,"Kanton Zürich","Änderung der Kantonsverfassung, Voraussetzungen für die Wahl an die obersten kantonalen Gerichte",3,"Stadt Zürich",3,"Kreis 3",27556.0,12775,1002,54.0,92.7,7.3,"",""
"2024-03-03",2,"Kanton Zürich","Änderung der Kantonsverfassung, Voraussetzungen für die Wahl an die obersten kantonalen Gerichte",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,10969,959,55.8,92.0,8.0,"",""
"2024-03-03",2,"Kanton Zürich","Änderung der Kantonsverfassung, Voraussetzungen für die Wahl an die obersten kantonalen Gerichte",3,"Stadt Zürich","","",235019.0,109103,9910,54.5,91.7,8.3,"",""
"2024-03-03",2,"Kanton Zürich","Änderung der Kantonsverfassung, Voraussetzungen für die Wahl an die obersten kantonalen Gerichte",2,"Kanton Zürich","","",933174.0,422687,50444,54.4,89.3,10.7,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich",17,"Auslandschweizer/-innen",35421.0,3523,5650,26.1,38.4,61.6,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich",10,"Kreis 12",15652.0,2045,5007,45.7,29.0,71.0,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich",9,"Kreis 11",37170.0,5505,13781,52.5,28.5,71.5,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich",8,"Kreis 10",24317.0,4189,11380,64.7,26.9,73.1,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich",7,"Kreis 9",31637.0,4737,12645,55.7,27.3,72.7,"",""
"2024-03-03",2,"Kanton Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale ",3,"Stadt Zürich",6,"Kreis 7+8",31501.0,4516,13659,62.9,24.8,75.2,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich",5,"Kreis 6",19466.0,3621,9334,67.3,28.0,72.0,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich",4,"Kreis 4+5",24617.0,3341,10631,57.3,23.9,76.1,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,4204,9490,60.2,30.7,69.3,"",""
"2024-03-03",2,"Kanton Zürich","Änderung der Kantonsverfassung, Voraussetzungen für die Wahl an die obersten kantonalen Gerichte",3,"Stadt Zürich",7,"Kreis 9",31637.0,13445,1482,50.8,90.1,9.9,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",3,"Stadt Zürich","","",270440.0,42664,103136,54.6,29.3,70.7,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",2,"Kanton Zürich","","",968595.0,170668,389714,58.5,30.5,69.5,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»",1,"Eidgenossenschaft","","","",809385,2392384,"",25.3,74.7,"0 0/2","20 6/2"
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich",17,"Auslandschweizer/-innen",35421.0,5589,3682,26.3,60.3,39.7,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich",10,"Kreis 12",15652.0,4685,2533,46.4,64.9,35.1,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich",9,"Kreis 11",37170.0,11274,8267,52.9,57.7,42.3,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",3,"Stadt Zürich",8,"Kreis 10",24317.0,9164,6532,65.1,58.4,41.6,"",""
