Gemeinde,0-4 Jahre,5-9 Jahre,10-14 Jahre,15-19 Jahre,20-24 Jahre,25-29 Jahre,30-34 Jahre,35-39 Jahre,40-44 Jahre,45-49 Jahre,50-54 Jahre,55-59 Jahre,60-64 Jahre,65-69 Jahre,70-74 Jahre,75-79 Jahre,80-84 Jahre,85-89 Jahre,90-94 Jahre,95-99 Jahre,100 Jahre und mehr,Kanton,Bezirk,Sprachregion
,Youth,Youth,Youth,Youth,Adults,Adults,Adults,Adults,Adults,Adults,Adults,Adults,Adults,Seniors,Seniors,Seniors,Seniors,Seniors,Seniors,Seniors,Seniors,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Liesberg,0.02722323049001815,0.039927404718693285,0.047186932849364795,0.04446460980036298,0.05989110707803993,0.043557168784029036,0.060798548094373864,0.05898366606170599,0.05807622504537205,0.056261343012704176,0.08166969147005444,0.09891107078039928,0.10072595281306715,0.05989110707803993,0.06352087114337568,0.03901996370235935,0.020871143375680582,0.029945553539019964,0.006352087114337568,0.0027223230490018148,0.0,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Nenzlingen,0.03076923076923077,0.03736263736263736,0.04835164835164835,0.07692307692307693,0.06373626373626373,0.05054945054945055,0.03076923076923077,0.054945054945054944,0.06153846153846154,0.08131868131868132,0.12087912087912088,0.08131868131868132,0.07472527472527472,0.05274725274725275,0.054945054945054944,0.046153846153846156,0.017582417582417582,0.013186813186813187,0.002197802197802198,0.0,0.0,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Roggenburg,0.02867383512544803,0.03942652329749104,0.04659498207885305,0.053763440860215055,0.05734767025089606,0.043010752688172046,0.04659498207885305,0.06093189964157706,0.04659498207885305,0.08960573476702509,0.12186379928315412,0.1111111111111111,0.05734767025089606,0.06093189964157706,0.06810035842293907,0.02867383512544803,0.025089605734767026,0.0035842293906810036,0.0035842293906810036,0.0035842293906810036,0.0035842293906810036,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Röschenz,0.044807590933052185,0.05007907221929362,0.06483921982076964,0.0521876647337902,0.043753294675803904,0.050606220347917764,0.049551924090669476,0.0595677385345282,0.0632577754348972,0.08434370057986294,0.08856088560885608,0.09330521876647338,0.07432788613600422,0.05376910911966262,0.050606220347917764,0.033210332103321034,0.02214022140221402,0.0158144438587243,0.0036900369003690036,0.0015814443858724301,0.0,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Wahlen,0.0470668485675307,0.04638472032742155,0.0504774897680764,0.05115961800818554,0.06207366984993179,0.05593451568894952,0.05593451568894952,0.07980900409276943,0.05798090040927694,0.058663028649386086,0.10163710777626193,0.08185538881309687,0.07776261937244201,0.058663028649386086,0.047748976807639835,0.029331514324693043,0.01637107776261937,0.017735334242837655,0.002728512960436562,0.0,0.0006821282401091405,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Zwingen,0.055034651447207504,0.058703628210354665,0.04443538524256013,0.04606604158173665,0.05707297187117815,0.07297187117814921,0.07623318385650224,0.06359559722788423,0.061557276803913576,0.0741948634325316,0.09457806767223807,0.08397880146759071,0.0591112922951488,0.04525071341214839,0.04158173664900122,0.028536485935589075,0.018344883815735832,0.01141459437423563,0.006114961271911945,0.0012229922543823889,0.0,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Arisdorf,0.03690260133091349,0.0544464609800363,0.049606775559588624,0.06533575317604355,0.05021173623714459,0.03871748336358137,0.04658197217180883,0.06836055656382335,0.0544464609800363,0.0780399274047187,0.102843315184513,0.0822746521476104,0.060496067755595885,0.056261343012704176,0.06291591046581972,0.045372050816696916,0.025408348457350273,0.016333938294010888,0.0030248033877797943,0.0024198427102238356,0.0,Basel-Landschaft,Bezirk Liestal,Deutsches Sprachgebiet
Augst,0.04126679462571977,0.0345489443378119,0.03166986564299424,0.029750479846449136,0.03358925143953935,0.05182341650671785,0.0671785028790787,0.061420345489443376,0.0710172744721689,0.06429942418426103,0.08061420345489444,0.09500959692898273,0.08061420345489444,0.07293666026871401,0.07005758157389635,0.05950095969289827,0.02399232245681382,0.018234165067178502,0.009596928982725527,0.0028790786948176585,0.0,Basel-Landschaft,Bezirk Liestal,Deutsches Sprachgebiet
Bubendorf,0.044525215810995,0.04566106315311222,0.0481599273057701,0.04861426624261699,0.06792367105860972,0.051794638800545204,0.05520218082689687,0.055883689232167195,0.059064061790095414,0.05838255338482508,0.08632439800090867,0.09291231258518855,0.07837346660608814,0.06519763743752839,0.052703316674238984,0.04066333484779645,0.024307133121308496,0.01522035438437074,0.0068150840527033164,0.002271694684234439,0.0,Basel-Landschaft,Bezirk Liestal,Deutsches Sprachgebiet
Frenkendorf,0.04787728540440037,0.04927176944530524,0.05252556554074992,0.051440966842268364,0.057173845677099475,0.06585063526495197,0.05856832971800434,0.07390765416795786,0.06151224047102572,0.07437248218159281,0.0770065075921909,0.07421753951038115,0.06306166718314224,0.04803222807561203,0.053920049581654785,0.037341183762008054,0.03021382088627208,0.017043693833281685,0.005887821506042764,0.0007747133560582584,0.0,Basel-Landschaft,Bezirk Liestal,Deutsches Sprachgebiet
