Gemeinde,Kanton,Bezirk,Afrika,Asien,EFTA-Staaten,EU-Staaten,Lateinamerika und Karibik,Nordamerika,Ohne Angabe,Ozeanien,Staatenlos,Ã¯Â¿Â½briges Europa (Europa ohne EU und EFTA)
Riniken,Aargau,Bezirk Brugg,0.0013708019191226869,0.019191226867717615,0.0006854009595613434,0.10006854009595613,0.00616860863605209,0.003427004797806717,0.0,0.0,0.0,0.04866346812885538
RÃ¯Â¿Â½fenach,Aargau,Bezirk Brugg,0.005945303210463734,0.0011890606420927466,0.0011890606420927466,0.10582639714625446,0.0,0.0047562425683709865,0.0,0.0,0.0,0.0
Thalheim (AG),Aargau,Bezirk Brugg,0.0,0.0012315270935960591,0.0012315270935960591,0.05665024630541872,0.003694581280788177,0.0,0.0,0.0012315270935960591,0.0,0.006157635467980296
Veltheim (AG),Aargau,Bezirk Brugg,0.003952569169960474,0.015810276679841896,0.0,0.12714097496706192,0.001976284584980237,0.0,0.0,0.0006587615283267457,0.0,0.03491436100131752
Villigen,Aargau,Bezirk Brugg,0.006052141527001862,0.025139664804469275,0.0,0.19320297951582868,0.0032588454376163874,0.0004655493482309125,0.0,0.0,0.0,0.049348230912476726
Villnachern,Aargau,Bezirk Brugg,0.003629764065335753,0.009074410163339383,0.0,0.1119177253478524,0.003629764065335753,0.0006049606775559589,0.0012099213551119178,0.0,0.0,0.032667876588021776
Windisch,Aargau,Bezirk Brugg,0.004071982135820307,0.02206751609089715,0.0003940627873374491,0.14961250492578484,0.006042296072507553,0.0013135426244581636,0.0005254170497832654,0.0005254170497832654,0.00013135426244581636,0.10560882700643635
BÃ¯Â¿Â½zberg,Aargau,Bezirk Brugg,0.0012158054711246201,0.00303951367781155,0.0006079027355623101,0.09604863221884498,0.00425531914893617,0.00303951367781155,0.0,0.0,0.0,0.007902735562310031
Schinznach,Aargau,Bezirk Brugg,0.006628369421122404,0.008837825894829872,0.0,0.13521873619089703,0.0004418912947414936,0.0,0.0,0.0004418912947414936,0.0,0.01723376049491825
Beinwil am See,Aargau,Bezirk Kulm,0.006545670931270455,0.010413567390657543,0.0008925914906277894,0.09937518595656054,0.001487652484379649,0.0,0.0,0.0,0.0,0.03005058018446891
Birrwil,Aargau,Bezirk Kulm,0.0,0.0017406440382941688,0.0,0.11314186248912098,0.0008703220191470844,0.0034812880765883376,0.0,0.0,0.0,0.03307223672758921
Burg (AG),Aargau,Bezirk Kulm,0.018,0.011,0.0,0.154,0.003,0.0,0.0,0.001,0.0,0.127
