Anhänger_Anderer,Anhänger_Benzin,Anhänger_Benzin-elektrisch: Normal-Hybrid,Anhänger_Benzin-elektrisch: Plug-in-Hybrid,Anhänger_Diesel,Anhänger_Diesel-elektrisch: Normal-Hybrid,Anhänger_Diesel-elektrisch: Plug-in-Hybrid,Anhänger_Elektrisch,Anhänger_Gas (mono- und bivalent),Anhänger_Ohne Motor,Anhänger_Wasserstoff,Industriefahrzeuge_Anderer,Industriefahrzeuge_Benzin,Industriefahrzeuge_Benzin-elektrisch: Normal-Hybrid,Industriefahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Diesel,Industriefahrzeuge_Diesel-elektrisch: Normal-Hybrid,Industriefahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Elektrisch,Industriefahrzeuge_Gas (mono- und bivalent),Industriefahrzeuge_Ohne Motor,Industriefahrzeuge_Wasserstoff,Landwirtschaftsfahrzeuge_Anderer,Landwirtschaftsfahrzeuge_Benzin,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Diesel,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Elektrisch,Landwirtschaftsfahrzeuge_Gas (mono- und bivalent),Landwirtschaftsfahrzeuge_Ohne Motor,Landwirtschaftsfahrzeuge_Wasserstoff,Motorräder_Anderer,Motorräder_Benzin,Motorräder_Benzin-elektrisch: Normal-Hybrid,Motorräder_Benzin-elektrisch: Plug-in-Hybrid,Motorräder_Diesel,Motorräder_Diesel-elektrisch: Normal-Hybrid,Motorräder_Diesel-elektrisch: Plug-in-Hybrid,Motorräder_Elektrisch,Motorräder_Gas (mono- und bivalent),Motorräder_Ohne Motor,Motorräder_Wasserstoff,Personentransportfahrzeuge_Anderer,Personentransportfahrzeuge_Benzin,Personentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Diesel,Personentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Elektrisch,Personentransportfahrzeuge_Gas (mono- und bivalent),Personentransportfahrzeuge_Ohne Motor,Personentransportfahrzeuge_Wasserstoff,Personenwagen_Anderer,Personenwagen_Benzin,Personenwagen_Benzin-elektrisch: Normal-Hybrid,Personenwagen_Benzin-elektrisch: Plug-in-Hybrid,Personenwagen_Diesel,Personenwagen_Diesel-elektrisch: Normal-Hybrid,Personenwagen_Diesel-elektrisch: Plug-in-Hybrid,Personenwagen_Elektrisch,Personenwagen_Gas (mono- und bivalent),Personenwagen_Ohne Motor,Personenwagen_Wasserstoff,Sachentransportfahrzeuge_Anderer,Sachentransportfahrzeuge_Benzin,Sachentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Diesel,Sachentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Elektrisch,Sachentransportfahrzeuge_Gas (mono- und bivalent),Sachentransportfahrzeuge_Ohne Motor,Sachentransportfahrzeuge_Wasserstoff,Gemeinde,Kanton,Bezirk
0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,89,10,3,34,0,0,6,1,0,0,0,1,0,0,7,0,0,0,0,0,0,Steinmaur,Zï¿½rich,Bezirk Dielsdorf
0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,3,0,21,2,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Escholzmatt-Marbach,Luzern,Wahlkreis Entlebuch
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,5,0,27,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Weiach,Zï¿½rich,Bezirk Dielsdorf
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,3,0,8,0,0,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,Aesch (LU),Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,33,9,0,20,1,0,7,0,0,0,0,1,0,0,10,0,0,1,0,0,0,Ballwil,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,49,0,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,164,0,0,0,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,578,30,8,254,14,0,21,3,0,0,0,7,0,0,116,0,0,0,0,0,0,Emmen,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,7,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,Ermensee,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,66,4,0,31,2,0,5,0,0,0,0,1,0,0,20,0,0,1,0,0,0,Eschenbach (LU),Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,88,9,2,35,3,0,4,1,0,0,0,2,0,0,18,0,0,0,0,0,0,Hitzkirch,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,61,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,161,9,1,46,1,0,17,0,0,0,0,7,0,0,74,0,0,0,0,0,0,Hochdorf,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,3,0,9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Hohenrain,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,49,2,1,26,1,0,1,1,0,0,0,1,0,0,13,0,0,0,0,0,0,Inwil,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,64,4,3,23,2,0,3,0,0,0,0,1,0,0,11,0,0,0,0,0,0,Rain,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,1,0,5,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Rï¿½merswil,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,47,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,156,11,1,97,4,0,12,0,0,0,0,3,0,0,52,0,0,0,0,0,0,Rothenburg,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,Schongau,Luzern,Wahlkreis Hochdorf
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,99,9,5,34,1,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,Adligenswil,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,160,10,2,74,2,0,12,1,0,0,0,5,0,0,33,0,0,1,0,0,0,Buchrain,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,4,1,29,0,0,0,0,0,0,0,1,0,0,12,0,0,1,0,0,0,Dierikon,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,364,40,8,204,7,0,20,12,0,0,0,2,0,0,126,0,0,2,0,0,0,Ebikon,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,39,7,0,31,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,Gisikon,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,5,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Greppen,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Honau,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,224,21,6,71,4,0,13,0,0,0,0,1,0,0,9,0,0,0,0,0,0,Horw,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,4,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,550,33,14,182,13,0,35,4,0,0,0,9,0,0,60,2,0,1,0,0,0,Kriens,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,122,0,0,1,0,0,27,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,309,0,0,1,0,0,22,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,1192,115,24,577,24,0,100,7,0,0,0,24,0,0,214,2,0,1,6,0,0,Luzern,Luzern,Wahlkreis Luzern-Stadt
0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,100,10,0,47,0,0,2,0,0,0,0,4,0,0,29,0,0,1,0,0,0,Malters,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,175,16,5,51,5,0,22,0,0,0,0,2,0,0,14,0,0,0,0,0,0,Meggen,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,12,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Meierskappel,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,83,13,3,51,1,0,7,0,0,0,0,0,0,0,17,0,0,1,0,0,0,Root,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,15,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,Schwarzenberg,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,2,20,0,0,4,0,0,0,0,1,0,0,10,0,0,0,0,0,0,Udligenswil,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,6,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,Vitznau,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,1,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,103,10,2,31,2,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,Weggis,Luzern,Wahlkreis Luzern-Land
0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,123,7,1,50,2,0,6,1,0,0,0,1,0,0,31,0,0,0,0,0,0,Beromï¿½nster,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,2,0,27,0,0,1,0,0,0,0,2,0,0,11,0,0,0,0,0,0,Bï¿½ron,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,2,13,3,0,2,0,0,0,0,1,0,0,30,0,0,0,0,0,0,Buttisholz,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,48,2,6,12,2,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Eich,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,67,8,1,23,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,Geuensee,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,49,2,1,25,0,0,2,0,0,0,0,1,0,0,16,0,0,0,0,0,0,Grosswangen,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,50,13,0,21,2,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Hildisrieden,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,41,4,0,20,2,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,Knutwil,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,6,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mauensee,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,28,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,153,4,3,50,3,0,11,0,0,0,0,1,0,0,27,0,0,0,0,0,0,Neuenkirch,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,65,2,0,23,1,0,5,0,0,0,0,1,0,0,6,0,0,0,0,0,0,Nottwil,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,117,16,4,52,5,0,19,0,0,0,0,4,0,0,15,0,0,0,0,0,0,Oberkirch,Luzern,Wahlkreis Sursee
0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,53,1,0,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,Rickenbach (LU),Luzern,Wahlkreis Sursee
