'link','name','country institution','origin','period','genre/type','Xml-tei','export?','completed','remark'
'https://darwin-online.org.uk/','The Complete Work of Charles Darwin Online','Great Britain','Great Britain','Modern','miscellaneous','not found','unknown',,
'https://github.com/papyri/idp.data/tree/master','Papyri.info Data',,,'Ancient','miscellaneous','yes','via github',,
'https://grammateus.unige.ch/howto-cite','Grammateus','Switzerland',,'Ancient','historical sources','yes','unknown',,'probably accessible via papyri.info'
'https://damos.hf.uio.no/1','Damos. Database of Mycenaean at Oslo','Norway','Greece','Ancient','inscriptions','no','unknown',,
'https://edities.kantl.be/streuvels/index.htm','Letters of Stijn Streuvels','Belgium','Belgium','Present','letters','yes','unknown',,
'https://labs.onb.ac.at/gitlab/digital-editions/sauer-seuffert-public','Briefwechsel Sauer Seuffert','Austria','Austria, Germany','Modern','letters','yes','via gitlab',,
'https://labs.onb.ac.at/gitlab/digital-editions/okopenko-public','Tagebücher Andreas Okopenko','Austria','Austria','Present','diaries','yes','via gitlab',,
'https://labs.onb.ac.at/gitlab/digital-editions/musil-public','Musil Online','Austria','Austria','Present','miscellaneous','yes','via gitlab',,
'https://labs.onb.ac.at/gitlab/digital-editions/blotius-public','Blotius Digital','Austria','Austria','Medieval-Modern','historical sources','yes','via gitlab',,
'https://github.com/CDRH/data_cody/tree/main/source/tei','William F. Cody Archive','USA','USA','Modern','prose','yes','via github',,
'https://github.com/OpenGreekAndLatin/athenaeus-dev','Machine-corrected EpiDoc versions of public-domain editions of Athenaeus of Naucratis','Germany',,'Ancient','prose','yes','via github',,'Contains 2 versions of the same text'
'https://github.com/OpenGreekAndLatin','Multiple Projects with machine-corrected TEI-XML versions of Greek/Latin works and translations',,,'Ancient','miscellaneous','yes','via github',,
'https://guillelmus.uni-koeln.de/tcrit/tcrit_prologus','Magistri Guillelmi Autissiodorensis Summa de officiis ecclesiasticis','Germany, Italy',,'Medieval','prose','yes','unknown',,
'https://github.com/telota/edition-humboldt-digital','Alexander von Humboldt Edition','Germany',,'Modern','miscellaneous','yes','via github/zenodo',,
'https://www.db-thueringen.de/receive/dbt_mods_00056963','DE der Briefe Erdmuthe Benignas von Reuss-Ebersdorf','Germany',,'Modern','letters','yes','via zip-link',,
'https://github.com/digicademy/sturm-exist-app/tree/master/xml/quellen','Der Sturm. Digitale Edition zur Geschichte der Internationalen Avantgarde','Germany','Germany, Austria','Present','miscellaneous','yes','via github',,
'http://teitok.clul.ul.pt/postscriptum/index.php?action=downloads','PostScriptum. Ordinary Wrting from Spain and Portugal (16th to 19th Century)','Portugal, Spain','Portugal, Spain','Modern','letters','yes','via zip-link',,
'https://heidata.uni-heidelberg.de/dataset.xhtml?persistentId=doi:10.11588/data/FNKJ2Y','Der arme Heinrich – digital','Germany, Spain','Germany','Medieval','prose','yes','via zip-link',,
