Title (de),Date,Institution,Theme 1,Theme 2,Theme 3,Vote trigger,Vote Result status,Official status,Legal act type,Vote trigger actor
Bundesbeschluss über die ärztliche Verschreibung von Heroin,1999-06-13,Optional referendum,addictive substances,,,Bottom up,Binding,Official,Urgent,Citizens
Bundesbeschluss über dringliche Massnahmen im Asyl- und Ausländerbereich (BMA),1999-06-13,Optional referendum,refugees,immigration policy,,Bottom up,Binding,Official,Urgent,Citizens
Asylgesetz (AsylG),1999-06-13,Optional referendum,refugees,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über eine neue Bundesverfassung,1999-04-18,Mandatory referendum,constitution,,,Bottom up,,Official,Normal,Citizens
"Bundesgesetz über die Raumplanung (RPG), Aenderung vom 20. März 1998",1999-02-07,Optional referendum,spatial planning,protection of nature and cultural heritage,agricultural policy,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'Wohneigentum für alle',1999-02-07,Citizens' initiative,"building of residential housing, property ownership",tax system,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend die Verfassungsbestimmung über die Transplantationsmedizin,1999-02-07,Mandatory referendum,medical research and technology,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über die Aenderung der Voraussetzungen für die Wählbarkeit in den Bundesrat,1999-02-07,Mandatory referendum,"government, administration",electoral system,federalism,Automatic,Binding,Official,Normal,Constitution
"Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel (Arbeitsgesetz)",1998-11-29,Optional referendum,employment conditions,status of women,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für eine vernünftige Drogenpolitik',1998-11-29,Citizens' initiative,addictive substances,,,Bottom up,Binding,Official,Normal,Citizens
"Bundesbeschluss über einen befristet geltenden, neuen Getreideartikel",1998-11-29,Mandatory referendum,crop production,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über Bau und Finanzierung von Infrastrukturvorhaben des öffentlichen Verkehrs,1998-11-29,Mandatory referendum,goods traffic,indirect taxation,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'für die 10. AHV-Revision ohne Erhöhung des Rentenalters',1998-09-27,Citizens' initiative,pension insurance,status of women,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für preisgünstige Nahrungsmittel und ökologische Bauernhöfe',1998-09-27,Citizens' initiative,agricultural policy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über eine leistungsabhängige Schwerverkehrsabgabe (Schwerverkehrsabgabegesetz, SVAG)",1998-09-27,Optional referendum,heavy traffic,indirect taxation,environmental policy,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'S.o.S. - Schweiz ohne Schnüffelpolizei',1998-06-07,Citizens' initiative,state security,fundamental rights,police,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'zum Schutz von Leben und Umwelt vor Genmanipulation (Gen-Schutz-Initiative)',1998-06-07,Citizens' initiative,genetic engineering,environmental policy,medical research and technology,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über Massnahmen zum Haushaltausgleich,1998-06-07,Mandatory referendum,public expenditure,,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'Jugend ohne Drogen',1997-09-28,Citizens' initiative,addictive substances,children and young people,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 13. Dezember 1996 über die Finanzierung der Arbeitslosenversicherung,1997-09-28,Optional referendum,unemployment insurance,budget cuts and remediation measures,,Bottom up,Binding,Official,Urgent,Citizens
Bundesbeschluss über die Aufhebung des Pulverregals,1997-06-08,Mandatory referendum,arms,competition policy,,Automatic,Binding,Official,Normal,Constitution
Eidgenössische Volksinitiative 'für ein Verbot der Kriegsmaterialausfuhr',1997-06-08,Citizens' initiative,foreign trade policy,arms,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'EU-Beitrittsverhandlungen vors Volk!',1997-06-08,Citizens' initiative,EU,referendum,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel (Arbeitsgesetz), Aenderung vom 22. März 1996",1996-12-01,Optional referendum,employment conditions,status of women,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Volksinitiative 'gegen die illegale Einwanderung',1996-12-01,Citizens' initiative,refugees,,,Bottom up,Binding,Official,Normal,Citizens
Regierungs- und Verwaltungsorganisationsgesetz (RVOG) vom 6. Oktober 1995,1996-06-09,Optional referendum,"government, administration",,,Bottom up,Binding,Official,Normal,Citizens
Gegenentwurf der Bundesversammlung vom 21. Dezember 1995 zur Volksinitiative 'Bauern und Konsumenten - für eine naturnahe Landwirtschaft',1996-06-09,Counter proposal,agricultural policy,environmental policy,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss über die Aufhebung der Bundesbeiträge an Bahnhofparkplatzanlagen,1996-03-10,Mandatory referendum,road transport,budget cuts and remediation measures,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über die Aufhebung der Pflicht zum Ankauf von Brennapparaten und zur Uebernahme von Branntwein,1996-03-10,Mandatory referendum,crop production,budget cuts and remediation measures,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über die Aufhebung der kantonalen Zuständigkeit im Bereich der persönlichen Ausrüstung der Armeeangehörigen,1996-03-10,Mandatory referendum,arms,budget cuts and remediation measures,division of tasks,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über den Uebertritt der bernischen Gemeinde Vellerat zum Kanton Jura,1996-03-10,Mandatory referendum,territorial questions,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über die Revision des Sprachenartikels in der Bundesverfassung (Art. 116 BV),1996-03-10,Mandatory referendum,language policy,,,Automatic,Binding,Official,Normal,Constitution
"Bundesgesetz über den Erwerb von Grundstücken durch Personen im Ausland, Aenderung vom 7. Oktober 1994",1995-06-25,Optional referendum,land law,immigration policy,tourism,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'zum Ausbau von AHV und IV',1995-06-25,Citizens' initiative,pension insurance,disability insurance,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über die Alters- und Hinterlassenenversicherung, Aenderung vom 7. Oktober 1994",1995-06-25,Optional referendum,pension insurance,status of women,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über eine Ausgabenbremse,1995-03-12,Mandatory referendum,public expenditure,legislative procedure,parliament,Automatic,Binding,Official,Normal,Constitution
"Landwirtschaftsgesetz, Aenderung vom 8. Oktober 1993",1995-03-12,Optional referendum,agricultural policy,,,Bottom up,Binding,Official,Normal,Citizens
"Milchwirtschaftsbeschluss 1988 (MWB 1988), Aenderung vom 18. März 1994",1995-03-12,Optional referendum,livestock,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Volksinitiative 'für eine umweltgerechte und leistungsfähige bäuerliche Landwirtschaft' (Gegenentwurf),1995-03-12,Counter proposal,agricultural policy,environmental policy,,Top down,Binding,Official,Normal,Parliament
Bundesgesetz über Zwangsmassnahmen im Ausländerrecht,1994-12-04,Optional referendum,criminal law,immigration policy,refugees,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für eine gesunde Krankenversicherung',1994-12-04,Citizens' initiative,health and accident insurance,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Krankenversicherung (KVG),1994-12-04,Optional referendum,health and accident insurance,,,Bottom up,Binding,Official,Normal,Citizens
"Schweizerisches Strafgesetzbuch Militärstrafgesetz, Aenderung vom 18. Juni 1993",1994-09-25,Optional referendum,immigration policy,criminal law,international law,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Aufhebung der Verbilligung von inländischem Brotgetreide aus Zolleinnahmen,1994-09-25,Mandatory referendum,crop production,budget cuts and remediation measures,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz über schweizerische Truppen für friedenserhaltende Operationen (BTFO),1994-06-12,Optional referendum,UN,international deployment,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Revision der Bürgerrechtsregelung in der Bundesverfassung (Erleichterte Einbürgerung für junge Ausländer),1994-06-12,Mandatory referendum,citizenship,immigration policy,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über einen Kulturförderungsartikel in der Bundesverfassung (Art. 27septies BV),1994-06-12,Mandatory referendum,cultural policy,division of tasks,,Automatic,Binding,Official,Normal,Constitution
"Luftfahrtgesetz (LFG), Aenderung vom 18. Juni 1993",1994-02-20,Optional referendum,air transport,,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'zum Schutze des Alpengebietes vor dem Transitverkehr',1994-02-20,Citizens' initiative,transit traffic,environmental policy,air quality control,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Einführung einer leistungs- oder verbrauchsabhängigen Schwerverkehrsabgabe,1994-02-20,Mandatory referendum,heavy traffic,indirect taxation,environmental policy,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über die Weiterführung der Schwerverkehrsabgabe,1994-02-20,Mandatory referendum,heavy traffic,indirect taxation,environmental policy,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über die Weiterführung der Nationalstrassenabgabe,1994-02-20,Mandatory referendum,road transport,indirect taxation,,Automatic,Binding,Official,Normal,Constitution
Eidgenössische Volksinitiative 'zur Verminderung der Tabakprobleme',1993-11-28,Citizens' initiative,addictive substances,children and young people,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'zur Verminderung der Alkoholprobleme',1993-11-28,Citizens' initiative,addictive substances,children and young people,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über besondere Verbrauchssteuern,1993-11-28,Mandatory referendum,indirect taxation,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über Massnahmen zur Erhaltung der Sozialversicherung,1993-11-28,Mandatory referendum,indirect taxation,pension insurance,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über einen Beitrag zur Gesundung der Bundesfinanzen,1993-11-28,Mandatory referendum,indirect taxation,budget cuts and remediation measures,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über die Finanzordnung,1993-11-28,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über Massnahmen in der Arbeitslosenversicherung,1993-09-26,Optional referendum,unemployment insurance,,,Bottom up,Binding,Official,Urgent,Citizens
Bundesbeschluss über befristete Massnahmen gegen die Kostensteigerung in der Krankenversicherung,1993-09-26,Optional referendum,health and accident insurance,,,Bottom up,Binding,Official,Urgent,Citizens
Eidgenössische Volksinitiative 'für einen arbeitsfreien Bundesfeiertag (1. August-Initiative)',1993-09-26,Citizens' initiative,national identity,working hours,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über den Anschluss des bernischen Amtsbezirks Laufen an den Kanton Basel-Landschaft,1993-09-26,Mandatory referendum,territorial questions,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss gegen den Waffenmissbrauch,1993-09-26,Mandatory referendum,criminal law,intergovernmental relations,,Automatic,Binding,Official,Normal,Constitution
Eidgenössische Volksinitiative 'für eine Schweiz ohne neue Kampfflugzeuge',1993-06-06,Citizens' initiative,arms,,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative '40 Waffenplätze sind genug - Umweltschutz auch beim Militär',1993-06-06,Citizens' initiative,military facilities,protection of nature and cultural heritage,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'zur Abschaffung der Tierversuche',1993-03-07,Citizens' initiative,animal testing,medical research and technology,livestock,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Aufhebung des Spielbankenverbots,1993-03-07,Mandatory referendum,structural policy,lottery and gambling,indirect taxation,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz über die Erhöhung des Treibstoffzolles vom 9. Oktober 1992,1993-03-07,Optional referendum,indirect taxation,road construction,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über den Europäischen Wirtschaftsraum (EWR),1992-12-06,Mandatory referendum,EEA,foreign trade policy,economic policy,Top down,Binding,Official,Normal,Parliament
Bundesgesetz über die Beiträge an die Infrastrukturkosten der Fraktionen und der Mitglieder der eidgenössischen Räte (Infrastrukturgesetz),1992-09-27,Optional referendum,land law,agricultural policy,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über die Bezüge der Mitglieder der eidgenössischen Räte und über die Beiträge an die Fraktionen (Entschädigungsgesetz), Aenderung vom 4. Oktober 1991",1992-09-27,Optional referendum,indirect taxation,"banks, stock exchange, insurance",,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über das bäuerliche Bodenrecht (BGBB),1992-09-27,Optional referendum,parliament,,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über die Stempelabgaben, Aenderung vom 4. Oktober 1991",1992-09-27,Optional referendum,parliament,,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über den Geschäftsverkehr der Bundesversammlung sowie über die Form, die Bekanntmachung und das Inkrafttreten ihrer Erlasse (Geschäftsverkehrsgesetz), Aenderung vom 4. Oktober 1991",1992-09-27,Optional referendum,parliament,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über den Bau der schweizerischen Eisenbahn-Alpentransversale (Alpentransit-Beschluss),1992-09-27,Optional referendum,goods traffic,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'zur Rettung unserer Gewässer',1992-05-17,Citizens' initiative,criminal law,children and young people,status of women,Bottom up,Binding,Official,Normal,Citizens
"Schweizerisches Strafgesetzbuch Militärstrafgesetz (Strafbare Handlungen gegen die sexuelle Integrität), Aenderung vom 21. Juni 1991",1992-05-17,Optional referendum,"conscientious objection, civilian service",,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Einführung eines Zivildienstes für Dienstverweigerer,1992-05-17,Mandatory referendum,reproductive medicine,genetic engineering,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über die Volksinitiative 'gegen Missbräuche der Fortpflanzungs- und Gentechnologie beim Menschen' (Gegenentwurf),1992-05-17,Counter proposal,water pollution control,hydro-electric power,,Top down,Binding,Official,Normal,Parliament
"Bundesgesetz über den Schutz der Gewässer (Gewässerschutzgesetz, GSchG)",1992-05-17,Optional referendum,water pollution control,hydro-electric power,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über den Beitritt der Schweiz zu den Institutionen von Bretton Woods,1992-05-17,Optional referendum,international organisations,foreign trade policy,development cooperation,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Mitwirkung der Schweiz an den Institutionen von Bretton Woods,1992-05-17,Optional referendum,international organisations,foreign trade policy,development cooperation,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch!)',1992-02-16,Citizens' initiative,animal testing,medical research and technology,livestock,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für eine finanziell tragbare Krankenversicherung (Krankenkasseninitiative)',1992-02-16,Citizens' initiative,health and accident insurance,,,Bottom up,Binding,Official,Normal,Citizens
"Militärstrafgesetz (MStG), Aenderung vom 5. Oktober 1990",1991-06-02,Optional referendum,"conscientious objection, civilian service",,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Neuordnung der Bundesfinanzen,1991-06-02,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'zur Förderung des öffentlichen Verkehrs',1991-03-03,Citizens' initiative,transport policy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 05.10.1990 über die Herabsetzung des Stimm- und Wahlrechtsalters auf 18 Jahre,1991-03-03,Mandatory referendum,voting rights,children and young people,fundamental rights,Automatic,Binding,Official,Normal,Constitution
"Bundesgesetz über den Strassenverkehr, Aenderung vom 06.10.1989",1990-09-23,Optional referendum,road transport,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 06.10.1989 über den Energieartikel in der Bundesverfassung,1990-09-23,Mandatory referendum,energy policy,,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'Stopp dem Atomkraftwerkbau (Moratorium)',1990-09-23,Citizens' initiative,nuclear energy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für den Ausstieg aus der Atomenergie',1990-09-23,Citizens' initiative,nuclear energy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über die Organisation der Bundesrechtspflege, Aenderung vom 23.06.1989",1990-04-01,Optional referendum,courts,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 23.06.1989 über den Rebbau,1990-04-01,Optional referendum,crop production,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine autobahnfreie Aarelandschaft zwischen Biel und Solothurn/Zuchwil',1990-04-01,Citizens' initiative,road construction,protection of nature and cultural heritage,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für ein autobahnfreies Knonauer Amt',1990-04-01,Citizens' initiative,road construction,protection of nature and cultural heritage,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine autobahnfreie Landschaft zwischen Murten und Yverdon',1990-04-01,Citizens' initiative,road construction,protection of nature and cultural heritage,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'Stopp dem Beton - für eine Begrenzung des Strassenbaus!',1990-04-01,Citizens' initiative,road construction,protection of nature and cultural heritage,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'pro Tempo 130/100',1989-11-26,Citizens' initiative,road transport,air quality control,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine Schweiz ohne Armee und für eine umfassende Friedenspolitik',1989-11-26,Citizens' initiative,abolition of the armed forces,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für ein naturnahes Bauern - gegen Tierfabriken (Kleinbauern-Initiative)',1989-06-04,Citizens' initiative,agricultural policy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für die Begrenzung der Einwanderung',1988-12-04,Citizens' initiative,immigration policy,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'zur Herabsetzung der Arbeitszeit',1988-12-04,Citizens' initiative,working hours,,,Bottom up,Binding,Official,Normal,Citizens
'Stadt-Land-Initiative gegen die Bodenspekulation',1988-12-04,Citizens' initiative,land law,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'zur Herabsetzung des AHV-Rentenalters auf 62 Jahre für Männer und 60 Jahre für Frauen',1988-06-12,Citizens' initiative,pension insurance,status of women,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 20.03.1987 über die Verfassungsgrundlagen für eine koordinierte Verkehrspolitik,1988-06-12,Mandatory referendum,transport policy,environmental policy,,Automatic,Binding,Official,Normal,Constitution
"Bundesgesetz über die Krankenversicherung, Aenderung vom 20.03.1987",1987-12-06,Optional referendum,health and accident insurance,status of women,maternity insurance,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'zum Schutz der Moore - Rothenthurm-Initiative',1987-12-06,Citizens' initiative,military facilities,protection of nature and cultural heritage,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 19.12.1986 betreffend das Konzept BAHN 2000,1987-12-06,Optional referendum,passenger traffic,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 19.12.1986 über das Abstimmungsverfahren bei Volksinitiativen mit Gegenentwurf,1987-04-05,Mandatory referendum,citizens' initiatives,procedure for constitutional reform,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'für die Mitsprache des Volkes bei Militärausgaben (Rüstungsreferendum)',1987-04-05,Citizens' initiative,arms,referendum,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über Aufenthalt und Niederlassung der Ausländer, Aenderung vom 20.06.1986",1987-04-05,Optional referendum,immigration policy,,,Bottom up,Binding,Official,Normal,Citizens
"Asylgesetz, Aenderung vom 20.06.1986",1987-04-05,Optional referendum,refugees,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine gerechte Belastung des Schwerverkehrs (Schwerverkehrsabgabe)',1986-12-07,Citizens' initiative,heavy traffic,indirect taxation,environmental policy,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss 21.03.1986 über die Volksinitiative 'für Mieterschutz' (Gegenentwurf),1986-12-07,Counter proposal,tenancy issues,,,Top down,Binding,Official,Normal,Parliament
"Gegenvorschlag zur eidgenössischen Volksinitiative ""Eidgenössische Kulturinitiative""",1986-09-28,Counter proposal,cultural policy,division of tasks,,Top down,Binding,Official,Normal,Parliament
"Bundesbeschluss über die inländische Zuckerwirtschaft, Aenderung vom 21.06.1985",1986-09-28,Optional referendum,crop production,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine gesicherte Berufsbildung und Umschulung',1986-09-28,Citizens' initiative,professional and vocational education,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 20.12.1985 über die 'Eidgenössische Kulturinitiative',1986-09-28,Citizens' initiative,cultural policy,division of tasks,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 14.12.1984 über den Beitritt der Schweiz zur Organisation der Vereinten Nationen,1986-03-16,Mandatory referendum,UN,,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'für die Abschaffung der Vivisektion',1985-12-01,Citizens' initiative,animal testing,livestock,medical research and technology,Bottom up,Binding,Official,Normal,Citizens
"Schweizerisches Zivilgesetzbuch (Wirkungen der Ehe im allgemeinen, Ehegüterrecht und Erbrecht), Aenderung vom 05.10.1984",1985-09-22,Optional referendum,private law,status of women,family policy,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 05.10.1984 über die Innovationsrisikogarantie zugunsten von kleinen und mittleren Unternehmen,1985-09-22,Optional referendum,competition policy,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 05.10.1984 über die Volksinitiative 'für die Koordination des Schuljahresbeginns in allen Kantonen' (Gegenentwurf),1985-09-22,Counter proposal,schools,intergovernmental relations,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 14.12.1984 über die Aufhebung der Unterstützung für die Selbstversorgung mit Brotgetreide,1985-06-09,Mandatory referendum,crop production,budget cuts and remediation measures,national economic supply,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 05.10.1984 über die Neuverteilung des Reinertrages aus der fiskalischen Belastung gebrannter Wasser,1985-06-09,Mandatory referendum,budget cuts and remediation measures,indirect taxation,intergovernmental relations,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 05.10.1984 über die Aufhebung des Kantonsanteiles am Reinertrag der Stempelabgaben,1985-06-09,Mandatory referendum,budget cuts and remediation measures,indirect taxation,intergovernmental relations,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'Recht auf Leben',1985-06-09,Citizens' initiative,fundamental rights,status of women,criminal law,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine Verlängerung der bezahlten Ferien' (Ferien-Initiative),1985-03-10,Citizens' initiative,working hours,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 05.10.1984 über die Ausbildungsbeiträge,1985-03-10,Mandatory referendum,universities,division of tasks,budget cuts and remediation measures,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 05.10.1984 über die Aufhebung der Beitragspflicht des Bundes im Gesundheitswesen,1985-03-10,Mandatory referendum,health policy,division of tasks,budget cuts and remediation measures,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 05.10.1984 über die Aufhebung der Beiträge für den Primarschulunterricht,1985-03-10,Mandatory referendum,schools,division of tasks,budget cuts and remediation measures,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 22.06.1984 über die Volksinitiative 'zur Entschädigung der Opfer von Gewaltverbrechen' (Gegenentwurf),1984-12-02,Counter proposal,welfare,,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 23.06.1984 über einen Radio- und Fernsehartikel,1984-12-02,Mandatory referendum,"radio, television and electronic media",,,Automatic,Binding,Official,Normal,Constitution
Volksinitiative 'für einen wirksamen Schutz der Mutterschaft',1984-12-02,Citizens' initiative,maternity insurance,status of women,,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative 'für eine sichere, sparsame und umweltgerechte Energieversorgung'",1984-09-23,Citizens' initiative,energy policy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine Zukunft ohne weitere Atomkraftwerke',1984-09-23,Citizens' initiative,nuclear energy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'gegen den Ausverkauf der Heimat',1984-05-20,Citizens' initiative,land law,immigration policy,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht',1984-05-20,Citizens' initiative,"banks, stock exchange, insurance",tax policy,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für einen echten Zivildienst auf der Grundlage des Tatbeweises',1984-02-26,Citizens' initiative,"conscientious objection, civilian service",,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 24.06.1983 über eine Abgabe für die Benützung der Nationalstrassen,1984-02-26,Mandatory referendum,road transport,indirect taxation,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 24.06.1983 über die Erhebung einer Schwerverkehrsabgabe,1984-02-26,Mandatory referendum,heavy traffic,indirect taxation,environmental policy,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 24.06.1983 über die Erleichterung gewisser Einbürgerungen,1983-12-04,Mandatory referendum,citizenship,immigration policy,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 24.06.1983 über Aenderungen der Bürgerrechtsregelung in der Bundesverfassung,1983-12-04,Mandatory referendum,citizenship,immigration policy,status of women,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 08.10.1982 über den Energieartikel in der Bundesverfassung,1983-02-27,Mandatory referendum,energy policy,environmental policy,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 08.10.1982 über die Neuregelung bei den Treibstoffzöllen,1983-02-27,Mandatory referendum,road construction,indirect taxation,,Automatic,Binding,Official,Normal,Constitution
Gegenvorschlag zur eidgenössischen Volksinitiative zur Verhinderung missbräuchlicher Preise,1982-11-28,Counter proposal,pricing policy,consumer protection,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 19.03.1982 über die Volksinitiative 'zur Verhinderung missbräuchlicher Preise',1982-11-28,Citizens' initiative,pricing policy,consumer protection,,Bottom up,Binding,Official,Normal,Citizens
"Schweizerisches Strafgesetzbuch, Aenderung vom 09.10.1981 (Gewaltverbrechen)",1982-06-06,Optional referendum,immigration policy,employment policy,,Bottom up,Binding,Official,Normal,Citizens
Ausländergesetz (AuG) vom 19.06.1981,1982-06-06,Optional referendum,criminal law,state security,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 19.06.1981 über die Weiterführung der Finanzordnung und die Verbesserung des Bundeshaushaltes,1981-11-29,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 10.10.1980 über die Volksinitiative 'zur Absicherung der Rechte der Konsumenten' (Gegenentwurf),1981-06-14,Counter proposal,consumer protection,,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 10.10.1980 über die Volksinitiative 'Gleiche Rechte für Mann und Frau' (Gegenentwurf),1981-06-14,Counter proposal,status of women,fundamental rights,,Top down,Binding,Official,Normal,Parliament
